"Taxon","Prevalence","Ref","Reference"
"s__Pseudomonas gessardii",0.26,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Pseudomonas hibiscicola",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Psychrobacter cibarius",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Pyramidobacter piscolens",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus bicirculans",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus callidus",0.3,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus flavefaciens",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus gnavus CC55 001C",0.8,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus lactaris CC59 002D",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus sp.9BFAA",0.82,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ruminococcus torques ATCC7756",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Selenomonas noxia",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Serratia marcescens",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Shewanella algae",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Slackia exigua ATCC00122",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Slackia isoflavoniconvertens",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Solibacillus silvestris StLB046",0.62,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__SR1 bacterium human oral taxon HOT-345",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Staphylococcus aureus subsp. aureus ST228",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Streptococcus anginosus",0.58,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Streptococcus dysgalactiae subsp. equisimilis",0.42,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Streptococcus equi subsp. zooepidemicus",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Streptococcus mutans",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Streptococcus parauberis",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Streptococcus sobrinus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Succinatimonas hippei",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Sutterella parvirubra",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Sutterella sanguinus",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Sutterella wadsworthensis",0.34,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Tenacibaculum mesophilum",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__TM7 phylum sp. oral clone DR034",0.34,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__TM7 phylum sp. oral clone FR058",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Ureaplasma parvum serovar str. ATCC7818",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"s__Weissella cibaria",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
