Taxon,Prevalence,Ref,Reference
s__Emcibacter sp. MEBiC09520,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Emiliania huxleyi virus 86,0,Ours,ExoTIC TCGA CRC (this study)
s__Empedobacter brevis,0.220670391,Ours,ExoTIC TCGA CRC (this study)
s__Encephalitozoon cuniculi,0.150837989,Ours,ExoTIC TCGA CRC (this study)
s__Encephalitozoon hellem,0.974860335,Ours,ExoTIC TCGA CRC (this study)
s__Encephalitozoon intestinalis,0.946927374,Ours,ExoTIC TCGA CRC (this study)
s__Encephalitozoon romaleae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Endomicrobium proavitum,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__endosymbiont 'TC1' of Trimyema compressum,0.100558659,Ours,ExoTIC TCGA CRC (this study)
s__endosymbiont of Acanthamoeba sp. UWC8,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__endosymbiont of Euscepes postfasciatus,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__endosymbiont of Pachyrhynchus infernalis,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__endosymbiont of Sipalinus gigas,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__endosymbiont of unidentified scaly snail isolate Monju,0.751396648,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter asburiae,0.117318436,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter bugandensis,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter cancerogenus,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter chengduensis,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter cloacae,0.360335196,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter cloacae complex sp.,0.05027933,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter cloacae complex sp. ECNIH7,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter cloacae complex sp. FDA-CDC-AR_0132,0,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter cloacae complex sp. FDA-CDC-AR_0164,0,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter hormaechei,0.382681564,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter kobei,0.075418994,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter ludwigii,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter oligotrophica,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter phage phiEap-2,0,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter roggenkampii,0.061452514,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter soli,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. 638,0.117318436,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. Crenshaw,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. CRENT-193,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. DKU_NT_01,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. E20,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. E76,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. HK169,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. LU1,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. N18-03635,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. ODB01,0,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. R4-368,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter sp. SA187,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacter virus PG7,0,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacteria phage phi92,0,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacteriaceae bacterium ENNIH1,0.097765363,Ours,ExoTIC TCGA CRC (this study)
s__Enterobacteriaceae bacterium strain FGI 57,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus avium,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus casseliflavus,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus cecorum,0.907821229,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus durans,0.055865922,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus faecalis,0.173184358,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus faecium,0.206703911,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus gallinarum,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus gilvus,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus hirae,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus mundtii,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus phage EFC-1,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus sp. CR-Ec1,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus sp. DA9,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus sp. FDAARGOS_375,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus sp. FDAARGOS_553,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus sp. M190262,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus thailandicus,0.932960894,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus virus EF24C,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Enterococcus virus LY0322,0.081005587,Ours,ExoTIC TCGA CRC (this study)
s__Entomoplasma freundtii,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Entomoplasma luminosum,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Entomoplasma melaleucae,0.259776536,Ours,ExoTIC TCGA CRC (this study)
s__Entomoplasma somnilux,0,Ours,ExoTIC TCGA CRC (this study)
s__Ephemeroptericola cinctiostellae,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Epibacterium mobile,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Eptesicus fuscus gammaherpesvirus,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Equid gammaherpesvirus 5,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Ereboglobus luteus,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Eremothecium cymbalariae,1,Ours,ExoTIC TCGA CRC (this study)
s__Eremothecium gossypii,0.972067039,Ours,ExoTIC TCGA CRC (this study)
s__Eremothecium sinecaudum,0.798882682,Ours,ExoTIC TCGA CRC (this study)
s__Erinnyis ello granulovirus,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia amylovora,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia billingiae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia gerundensis,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia persicina,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia phage FE44,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia phage vB_EamM_Kwan,0,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia phage vB_EamM-Y2,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia pyrifoliae,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia sp. J780,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia sp. QL-Z3,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia tasmaniensis,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Erwinia virus Ea2809,0,Ours,ExoTIC TCGA CRC (this study)
s__Erysipelothrix larvae,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Erysipelothrix rhusiopathiae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__Erysipelothrix sp. 15TAL0474,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Erysipelotrichaceae bacterium GAM147,0.055865922,Ours,ExoTIC TCGA CRC (this study)
s__Erysipelotrichaceae bacterium I46,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter atlanticus,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter gangjinensis,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter litoralis,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter seohaensis,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter sp. HKB08,0.209497207,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter sp. HL-111,0.075418994,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter sp. KY5,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter sp. THAF29,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Erythrobacter sp. YH-07,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia albertii,0.142458101,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia coli,0.988826816,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia fergusonii,0.117318436,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia marmotae,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia phage ECBP5,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia phage ECML-117,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia phage HK639,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia phage phiKT,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia sp. E4742,0.075418994,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus 121Q,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus ACGM12,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus alpha3,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus APEC7,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus Av05,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus AYO145A,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus Bp4,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus CC31,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus ECB2,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus FFH1,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus FV3,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus G4,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus G7C,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus I22,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus ID21,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus ID52,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus ID62,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus If1,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus IME11,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus JenP1,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus JenP2,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus JSE,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus K1-5,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus K1G,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus mEpX1,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus MX01,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus N4,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus NC28,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus NC29,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus NC35,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus Septima11,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus slur16,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus St1,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus SU10,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus SUSP2,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus T4,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus Talmos,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus VR20,0,Ours,ExoTIC TCGA CRC (this study)
s__Escherichia virus WA45,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Ethanoligenens harbinense,0.081005587,Ours,ExoTIC TCGA CRC (this study)
s__Eubacterium callanderi,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Eubacterium limosum,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__Eubacterium maltosivorans,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Euhalothece natronophila,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Euzebya sp. DY32-46,0.06424581,Ours,ExoTIC TCGA CRC (this study)
s__Euzebyella marina,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium acetylicum,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium antarcticum,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium mexicanum,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium sibiricum,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium sp. AT1b,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium sp. MH3,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium sp. N4-1P,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium sp. U13-1,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Exiguobacterium sp. ZWU0009,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Ezakiella massiliensis,0.069832402,Ours,ExoTIC TCGA CRC (this study)
s__Faba bean yellow leaf virus,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Fabibacter pacificus,0.061452514,Ours,ExoTIC TCGA CRC (this study)
s__Faecalibacterium prausnitzii,0.837988827,Ours,ExoTIC TCGA CRC (this study)
s__Faecalitalea cylindroides,0.092178771,Ours,ExoTIC TCGA CRC (this study)
s__Fermentimonas caenicola,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Ferrimonas balearica,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Ferriphaselus amnicola,0.932960894,Ours,ExoTIC TCGA CRC (this study)
s__Ferroglobus placidus,0.103351955,Ours,ExoTIC TCGA CRC (this study)
s__Ferroplasma acidarmanus,0,Ours,ExoTIC TCGA CRC (this study)
s__Ferroplasma acidiphilum,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Ferrovibrio sp. K5,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Fervidicoccus fontis,0,Ours,ExoTIC TCGA CRC (this study)
s__Fervidobacterium nodosum,0.120111732,Ours,ExoTIC TCGA CRC (this study)
s__Fervidobacterium pennivorans,0.265363128,Ours,ExoTIC TCGA CRC (this study)
s__Fibrella aestuarina,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Fibrella sp. ES10-3-2-2,0.150837989,Ours,ExoTIC TCGA CRC (this study)
s__Fibrobacter succinogenes,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Fictibacillus arsenicus,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Fictibacillus phosphorivorans,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Filifactor alocis,0.061452514,Ours,ExoTIC TCGA CRC (this study)
s__Filimonas lacunae,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__Fimbriimonas ginsengisoli,0.081005587,Ours,ExoTIC TCGA CRC (this study)
s__Finegoldia magna,0.377094972,Ours,ExoTIC TCGA CRC (this study)
s__Flagellimonas maritima,0.455307263,Ours,ExoTIC TCGA CRC (this study)
s__Flammeovirga pectinis,0.740223464,Ours,ExoTIC TCGA CRC (this study)
s__Flammeovirga sp. MY04,0.877094972,Ours,ExoTIC TCGA CRC (this study)
s__Flammeovirgaceae bacterium 311,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__Flaviflexus salsibiostraticola,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Flaviflexus sp. H23T48,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Flavisolibacter ginsenosidimutans,0.075418994,Ours,ExoTIC TCGA CRC (this study)
s__Flavisolibacter sp. 17J28-1,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Flavisolibacter tropicus,0.117318436,Ours,ExoTIC TCGA CRC (this study)
s__Flavivirga eckloniae,0.117318436,Ours,ExoTIC TCGA CRC (this study)
s__Flavobacteriaceae bacterium 10Alg115,0.729050279,Ours,ExoTIC TCGA CRC (this study)
s__Flavobacteriaceae bacterium 3519-10,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Flavobacteriaceae bacterium F202Z8,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__Flavobacteriaceae bacterium MAR_2010_188,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__Flavobacteriaceae bacterium UJ101,0.089385475,Ours,ExoTIC TCGA CRC (this study)
s__Flavonifractor plautii,0.209497207,Ours,ExoTIC TCGA CRC (this study)
s__Flexistipes sinusarabici,0.075418994,Ours,ExoTIC TCGA CRC (this study)
s__Flintibacter sp. KGMB00164,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__Fluoribacter dumoffii,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Fluviicola taffensis,0.100558659,Ours,ExoTIC TCGA CRC (this study)
s__Fowl aviadenovirus D,0,Ours,ExoTIC TCGA CRC (this study)
s__Fragaria vesca,1,Ours,ExoTIC TCGA CRC (this study)
s__Francisella adeliensis,0.413407821,Ours,ExoTIC TCGA CRC (this study)
s__Francisella halioticida,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Francisella hispaniensis,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Francisella marina,0,Ours,ExoTIC TCGA CRC (this study)
s__Francisella noatunensis,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Francisella persica,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Francisella philomiragia,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Francisella sp. CA97-1460,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Francisella sp. FSC1006,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Francisella sp. TX077310,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Francisella tularensis,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Frankia alni,0.854748603,Ours,ExoTIC TCGA CRC (this study)
s__Frankia casuarinae,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Frankia inefficax,0.759776536,Ours,ExoTIC TCGA CRC (this study)
s__Frankia sp. EAN1pec,0.326815642,Ours,ExoTIC TCGA CRC (this study)
s__Frankia sp. QA3,0.061452514,Ours,ExoTIC TCGA CRC (this study)
s__Frankia symbiont of Datisca glomerata,0.12849162,Ours,ExoTIC TCGA CRC (this study)
s__Frankineae bacterium MT45,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Frateuria aurantia,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Friedmanniella luteola,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__Friedmanniella sagamiharensis,0.150837989,Ours,ExoTIC TCGA CRC (this study)
s__Frischella perrara,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__Frog siadenovirus A,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Frondihabitans sp. 762G35,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Frondihabitans sp. PAMC 28766,0.089385475,Ours,ExoTIC TCGA CRC (this study)
s__Fuerstia marisgermanicae,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Fujinami sarcoma virus,0.231843575,Ours,ExoTIC TCGA CRC (this study)
s__Fusarium fujikuroi,1,Ours,ExoTIC TCGA CRC (this study)
s__Fusarium graminearum,1,Ours,ExoTIC TCGA CRC (this study)
s__Fusarium oxysporum,0.972067039,Ours,ExoTIC TCGA CRC (this study)
s__Fusarium pseudograminearum,0.980446927,Ours,ExoTIC TCGA CRC (this study)
s__Fusarium venenatum,1,Ours,ExoTIC TCGA CRC (this study)
s__Fusarium verticillioides,0.98603352,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium gonidiaformans,0.474860335,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium hwasookii,0.106145251,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium mortiferum,0.11452514,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium necrophorum,0.131284916,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium nucleatum,0.55027933,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium periodonticum,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium pseudoperiodonticum,0.318435754,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium sp. oral taxon 203,0.075418994,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium ulcerans,0.175977654,Ours,ExoTIC TCGA CRC (this study)
s__Fusobacterium varium,0.189944134,Ours,ExoTIC TCGA CRC (this study)
s__Gallaecimonas mangrovi,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Gallibacterium anatis,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__gamma proteobacterium BW-2,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__gamma proteobacterium HdN1,0.069832402,Ours,ExoTIC TCGA CRC (this study)
s__gamma proteobacterium SS-5,0.469273743,Ours,ExoTIC TCGA CRC (this study)
s__Gammapapillomavirus 26,0,Ours,ExoTIC TCGA CRC (this study)
s__Gammapapillomavirus sp.,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Gammaproteobacteria bacterium DM2,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Gammaproteobacteria bacterium ESL0073,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Gardnerella vaginalis,0.270949721,Ours,ExoTIC TCGA CRC (this study)
s__Garlic virus A,0,Ours,ExoTIC TCGA CRC (this study)
s__Gemella haemolysans,0.145251397,Ours,ExoTIC TCGA CRC (this study)
s__Gemella morbillorum,0.812849162,Ours,ExoTIC TCGA CRC (this study)
s__Gemella sanguinis,0.081005587,Ours,ExoTIC TCGA CRC (this study)
s__Gemella sp. ND 6198,0,Ours,ExoTIC TCGA CRC (this study)
s__Gemella sp. oral taxon 928,0,Ours,ExoTIC TCGA CRC (this study)
s__Geminocystis herdmanii,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Geminocystis sp. NIES-3708,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Geminocystis sp. NIES-3709,0.083798883,Ours,ExoTIC TCGA CRC (this study)
s__Gemmata obscuriglobus,0.142458101,Ours,ExoTIC TCGA CRC (this study)
s__Gemmata sp. SH-PL17,0.198324022,Ours,ExoTIC TCGA CRC (this study)
s__Gemmataceae bacterium PX52,0.097765363,Ours,ExoTIC TCGA CRC (this study)
s__Gemmatimonas aurantiaca,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Gemmatimonas phototrophica,0.201117318,Ours,ExoTIC TCGA CRC (this study)
s__Gemmatirosa kalamazoonesis,0.237430168,Ours,ExoTIC TCGA CRC (this study)
s__Gemmobacter sp. HYN0069,0.072625698,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus genomosp. 3,0.067039106,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus kaustophilus,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus sp. C56-T3,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus sp. E263,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus sp. GHH01,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus sp. JS12,0.106145251,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus sp. WCH70,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus stearothermophilus,0.360335196,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus subterraneus,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus thermocatenulatus,0.167597765,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus thermodenitrificans,0.282122905,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus thermoleovorans,0.324022346,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus virus E2,0.438547486,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus virus E3,0.399441341,Ours,ExoTIC TCGA CRC (this study)
s__Geobacillus virus GBSV1,0.078212291,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter anodireducens,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter bemidjiensis,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter daltonii,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter lovleyi,0.497206704,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter metallireducens,0.296089385,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter pickeringii,0.103351955,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter sp. DSM 9736,0.824022346,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter sp. FeAm09,0.162011173,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter sp. M18,0.153631285,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter sp. M21,0.05027933,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter sulfurreducens,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Geobacter uraniireducens,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__Geoglobus acetivorans,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Geoglobus ahangari,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Georgenia sp. Z294,0.097765363,Ours,ExoTIC TCGA CRC (this study)
s__Georgenia sp. Z443,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Georgenia sp. ZLJ0423,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__Georhizobium profundi,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Geosporobacter ferrireducens,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Geovibrio thiophilus,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Gilliamella apicola,0.273743017,Ours,ExoTIC TCGA CRC (this study)
s__Gilvibacter sp. SZ-19,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Gimesia maris,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Gimesia sp. E7,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Glaesserella parasuis,0.946927374,Ours,ExoTIC TCGA CRC (this study)
s__Glaesserella sp. 15-184,0.555865922,Ours,ExoTIC TCGA CRC (this study)
s__Gloeobacter kilaueensis,0.142458101,Ours,ExoTIC TCGA CRC (this study)
s__Gloeobacter violaceus,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Gloeomargarita lithophora,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Gloeothece citriformis,0.078212291,Ours,ExoTIC TCGA CRC (this study)
